,METRO_ID,Metropolitan areas,VAR,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
108,DE040,Saarbrücken,POP_DENS,612.58,607.66,602.79,597.97,593.2,588.48,583.8,579.17,574.58,570.05,565.55,561.1,556.7,552.33,548.02
109,DE501,Duisburg,GREEN_AREA_PC,118.76,119.4,120.04,120.68,121.33,121.97,122.63,123.28,123.94,124.6,125.27,125.94,126.61,127.28,127.96
110,DE501,Duisburg,POP_DENS,1273.57,1266.78,1260.02,1253.3,1246.62,1239.98,1233.39,1226.83,1220.3,1213.82,1207.38,1200.97,1194.61,1188.28,1181.98
111,DE502,Mannheim,GREEN_AREA_PC,81.5,81.69,81.88,82.07,82.26,82.45,82.64,82.82,83.01,83.19,83.38,83.56,83.74,83.92,84.1
112,DE502,Mannheim,POP_DENS,651.12,649.59,648.08,646.58,645.1,643.62,642.16,640.72,639.29,637.87,636.46,635.07,633.7,632.33,630.98
113,DE504,Münster,GREEN_AREA_PC,976.61,970.53,964.45,958.38,952.32,946.27,940.24,934.21,928.19,922.19,916.2,910.23,904.26,898.31,892.37
114,DE504,Münster,POP_DENS,299.6,301.48,303.37,305.3,307.24,309.2,311.19,313.2,315.22,317.28,319.35,321.45,323.57,325.71,327.88
115,DE507,Aachen,GREEN_AREA_PC,242.74,243.26,243.77,244.27,244.76,245.24,245.7,246.16,246.6,247.03,247.45,247.86,248.25,248.63,249.0
116,DE507,Aachen,POP_DENS,761.92,760.3,758.71,757.15,755.64,754.17,752.74,751.35,750.0,748.69,747.42,746.19,745.01,743.87,742.78
117,DEU,Germany,POP_DENS,230.14,230.4,230.91,231.18,231.15,231.03,230.86,230.5,230.23,229.63,229.06,228.92,229.18,229.67,226.16
118,DK001,Copenhagen,GREEN_AREA_PC,399.4,397.76,396.11,394.46,392.81,391.16,389.5,387.84,386.18,384.52,382.85,381.18,379.52,377.85,376.18
119,DK001,Copenhagen,POP_DENS,467.08,469.01,470.96,472.93,474.92,476.93,478.96,481.0,483.07,485.16,487.27,489.4,491.55,493.72,495.92
120,DNK,Denmark,POP_DENS,123.67,124.12,124.56,124.92,125.24,125.56,125.94,126.39,127.05,127.88,128.42,129.44,129.9,130.42,130.99
121,EE001,Tallinn,GREEN_AREA_PC,1466.52,1466.75,1466.96,1467.17,1467.38,1467.58,1467.77,1467.97,1468.15,1468.33,1468.51,1468.68,1468.84,1469.0,1469.15
122,EE001,Tallinn,POP_DENS,122.85,122.83,122.81,122.79,122.78,122.76,122.74,122.73,122.71,122.7,122.68,122.67,122.65,122.64,122.63
123,ES001,Madrid,GREEN_AREA_PC,31.5,31.0,30.49,29.98,29.47,28.95,28.44,27.92,27.4,26.88,26.36,25.83,25.3,24.76,24.23
124,ES001,Madrid,POP_DENS,471.88,479.6,487.6,495.89,504.5,513.44,522.73,532.41,542.49,553.02,564.02,575.54,587.6,600.26,613.57
125,ES002,Barcelona,GREEN_AREA_PC,2.67,2.64,2.61,2.58,2.56,2.53,2.5,2.48,2.45,2.42,2.39,2.37,2.34,2.31,2.29
126,ES002,Barcelona,POP_DENS,2422.69,2448.04,2473.85,2500.13,2526.89,2554.14,2581.89,2610.18,2639.0,2668.38,2698.33,2728.87,2760.03,2791.81,2824.24
127,ES003,Valencia,GREEN_AREA_PC,17.46,17.23,16.99,16.76,16.53,16.3,16.07,15.85,15.62,15.4,15.17,14.95,14.73,14.5,14.28
128,ES003,Valencia,POP_DENS,925.29,937.81,950.62,963.73,977.14,990.88,1004.95,1019.36,1034.12,1049.26,1064.78,1080.69,1097.02,1113.77,1130.97
129,ES004,Seville,GREEN_AREA_PC,15.68,15.5,15.33,15.15,14.98,14.8,14.62,14.44,14.26,14.08,13.9,13.71,13.53,13.35,13.16
130,ES004,Seville,POP_DENS,302.46,305.86,309.36,312.95,316.65,320.45,324.37,328.4,332.55,336.83,341.24,345.8,350.49,355.35,360.36
131,ES005,Zaragoza,GREEN_AREA_PC,64.15,63.4,62.66,61.91,61.15,60.38,59.61,58.83,58.03,57.22,56.4,55.57,54.71,53.84,52.95
132,ES005,Zaragoza,POP_DENS,61.07,61.79,62.52,63.28,64.06,64.88,65.72,66.59,67.51,68.46,69.45,70.5,71.6,72.76,73.99
133,ES006,Málaga,GREEN_AREA_PC,32.71,32.22,31.74,31.25,30.76,30.27,29.77,29.28,28.79,28.29,27.8,27.3,26.8,26.31,25.81
134,ES006,Málaga,POP_DENS,436.7,443.28,450.08,457.11,464.38,471.92,479.72,487.8,496.17,504.85,513.86,523.2,532.9,542.97,553.43
135,ES008,Las Palmas,GREEN_AREA_PC,91.15,90.35,89.56,88.77,87.98,87.2,86.43,85.66,84.9,84.14,83.39,82.65,81.91,81.17,80.44
136,ES008,Las Palmas,POP_DENS,763.08,769.84,776.67,783.57,790.55,797.61,804.74,811.95,819.24,826.61,834.06,841.59,849.21,856.91,864.69
137,ES019,Bilbao,GREEN_AREA_PC,218.08,217.46,216.81,216.14,215.46,214.75,214.03,213.29,212.52,211.74,210.93,210.11,209.26,208.39,207.5
138,ES019,Bilbao,POP_DENS,845.4,847.84,850.38,853.0,855.71,858.51,861.42,864.42,867.53,870.74,874.06,877.5,881.05,884.72,888.52
139,ESP,Spain,POP_DENS,80.66,81.05,81.78,83.36,84.8,86.29,87.71,89.26,91.02,92.15,92.65,93.01,93.31,93.13,92.7
140,EST,Estonia,POP_DENS,32.26,32.07,31.85,31.66,31.46,31.29,31.1,30.92,30.82,30.75,30.7,30.61,30.51,30.4,30.3
141,FI001,Helsinki,GREEN_AREA_PC,85.45,84.86,84.27,83.68,83.09,82.51,81.93,81.35,80.77,80.2,79.63,79.06,78.5,77.94,77.38
142,FI001,Helsinki,POP_DENS,213.6,215.09,216.6,218.13,219.67,221.22,222.79,224.37,225.97,227.59,229.21,230.86,232.52,234.2,235.89
143,FIN,Finland,POP_DENS,16.98,17.01,17.06,17.1,17.14,17.2,17.28,17.35,17.44,17.53,17.61,17.69,17.77,17.86,17.94
144,FR001,Paris,GREEN_AREA_PC,97.99,97.35,96.71,96.07,95.43,94.78,94.14,93.49,92.85,92.2,91.55,90.9,90.24,89.59,88.93
145,FR001,Paris,POP_DENS,903.63,909.57,915.6,921.71,927.92,934.21,940.61,947.1,953.7,960.41,967.23,974.17,981.23,988.42,995.74
146,FR003,Lyon,GREEN_AREA_PC,529.89,525.63,521.38,517.15,512.92,508.72,504.53,500.34,496.18,492.03,487.9,483.78,479.67,475.58,471.5
147,FR003,Lyon,POP_DENS,478.37,482.25,486.18,490.16,494.2,498.28,502.42,506.62,510.87,515.18,519.55,523.97,528.46,533.01,537.62
148,FR004,Toulouse,GREEN_AREA_PC,212.58,209.14,205.73,202.34,198.97,195.64,192.32,189.04,185.78,182.54,179.34,176.15,172.99,169.86,166.76
149,FR004,Toulouse,POP_DENS,195.9,199.12,202.43,205.82,209.3,212.87,216.53,220.3,224.16,228.14,232.22,236.42,240.73,245.17,249.74
150,FR006,Strasbourg,GREEN_AREA_PC,381.86,379.81,377.77,375.72,373.67,371.62,369.56,367.49,365.43,363.36,361.29,359.22,357.14,355.06,352.98
151,FR006,Strasbourg,POP_DENS,353.47,355.37,357.3,359.24,361.21,363.21,365.24,367.29,369.36,371.47,373.6,375.75,377.94,380.15,382.39
152,FR007,Bordeaux,GREEN_AREA_PC,1472.11,1456.61,1441.14,1425.74,1410.33,1394.98,1379.67,1364.38,1349.14,1333.93,1318.77,1303.65,1288.56,1273.52,1258.52
153,FR007,Bordeaux,POP_DENS,183.22,185.17,187.16,189.18,191.25,193.35,195.5,197.69,199.92,202.2,204.52,206.9,209.32,211.79,214.31
154,FR008,Nantes,GREEN_AREA_PC,658.58,651.99,645.39,638.79,632.19,625.59,618.99,612.4,605.8,599.21,592.62,586.04,579.45,572.87,566.3
155,FR008,Nantes,POP_DENS,249.06,251.57,254.15,256.77,259.45,262.19,264.98,267.84,270.75,273.73,276.77,279.89,283.07,286.32,289.64
156,FR009,Lille,GREEN_AREA_PC,42.05,41.95,41.85,41.76,41.66,41.56,41.46,41.36,41.26,41.15,41.05,40.94,40.84,40.73,40.62
157,FR009,Lille,POP_DENS,906.47,908.52,910.6,912.72,914.87,917.05,919.27,921.52,923.81,926.13,928.49,930.89,933.33,935.8,938.31
158,FR010,Montpellier,GREEN_AREA_PC,232.63,229.52,226.45,223.4,220.38,217.4,214.43,211.5,208.6,205.72,202.88,200.06,197.27,194.5,191.76
159,FR010,Montpellier,POP_DENS,247.95,251.31,254.72,258.2,261.74,265.33,268.99,272.72,276.52,280.38,284.31,288.32,292.4,296.56,300.79
160,FR011,Saint-Étienne,GREEN_AREA_PC,1133.51,1132.12,1130.64,1129.08,1127.4,1125.62,1123.75,1121.77,1119.68,1117.5,1115.21,1112.8,1110.31,1107.69,1104.98
161,FR011,Saint-Étienne,POP_DENS,284.67,285.02,285.39,285.79,286.21,286.67,287.14,287.65,288.19,288.75,289.34,289.97,290.62,291.31,292.02
162,FR013,Rennes,GREEN_AREA_PC,580.73,573.13,565.57,557.99,550.43,542.89,535.35,527.83,520.34,512.86,505.4,497.96,490.53,483.14,475.77
163,FR013,Rennes,POP_DENS,153.25,155.28,157.36,159.5,161.69,163.93,166.24,168.61,171.04,173.53,176.09,178.73,181.43,184.21,187.06
