Company_name	Company_ID	Big3Share	Position	Exchange	TypeEnt	VAR	Dollars_th
BARNES GROUP INC	US060247840	17.39	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	1193975.0
EASTERN COMPANY (THE)	US060330020	0.37	24	NASDAQ National Market	Industrial company	Revenue	144568.0
HUBBELL INC	US060397030	15.69	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	3390400.0
PITNEY BOWES INC	US060495050	21.02	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	3578060.0
ROGERS CORP	US060513860	18.99	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	641443.0
STANLEY BLACK & DECKER, INC.	US060548860	18.98	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	11171800.0
UNITED TECHNOLOGIES CORPORATION	US060570975	23.94	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	56098000.0
KAMAN CORP	US060613548	18.65	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	1775125.0
FRONTIER COMMUNICATIONS CORPORATION	US060619596	20.04	1	NASDAQ National Market	Industrial company	Revenue	5576000.0
STURM RUGER & CO INC	US060633559	21.88	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	551094.0
CONNECTICUT WATER SERVICE INC	US060739839	12.510000000000002	1	NASDAQ National Market	Industrial company	Revenue	96041.0
MAGELLAN PETROLEUM CORP	US060842255	1.11	4	NASDAQ National Market	Industrial company	Revenue	4459.0
FUELCELL ENERGY INC	US060853042	7.1000000000000005	2	NASDAQ National Market	Industrial company	Revenue	163077.0
TRC COMPANIES INC	US060853807	4.1400000000000015	3	New York Stock Exchange (NYSE)	Industrial company	Revenue	414648.0
PHOTRONICS INC	US060854886	10.71	2	NASDAQ National Market	Industrial company	Revenue	524206.0
LYDALL INC	US060865505	15.48	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	524505.0
GRIFFIN INDUSTRIAL REALTY, INC.	US060868496	1.38	12	NASDAQ National Market	Industrial company	Revenue	28088.0
AVIS BUDGET GROUP, INC.	US060918165	13.39	1	NASDAQ National Market	Financial company	Revenue	8502000.0
GENESEE & WYOMING INC	US060984624	14.24	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	2000401.0
CIGNA CORPORATION	US061059331	16.97	1	New York Stock Exchange (NYSE)	Insurance company	Revenue	
